"id","town","county"
"1","Well","Lincolnshire"
"2","Well","North Yorkshire"
"3","Well","Hampshire"
"4","Welhambridge","North Yorkshire"
"5","Welham Green","Hertfordshire"
"6","Welham","Nottinghamshire"
"7","Welham","Somerset"
"8","Welham","Leicestershire"
"9","Welford-on-Avon","Warwickshire"
"10","Welford","Berkshire"
"11","Weldon","Northumberland"
"12","Welford","Northamptonshire"
"13","Weldon","Northamptonshire"
"14","Welcombe","Devon"
"15","Weld Bank","Lancashire"
"16","Welby","Lincolnshire"
"17","Welburn","North Yorkshire"
"18","Welbury","North Yorkshire"
"19","Welbourne Common","Norfolk"
"20","Welborne","Norfolk"
"21","Welbourn","Lincolnshire"
"22","Weisdale","Shetland Isles"
"23","Weir Wood Reservoir","West Sussex"
"24","Weir","Essex"
"25","Weirbrook","Shropshire"
"26","Weir Quay","Cornwall"
"27","Weetwood","West Yorkshire"
"28","Weetwood Common","Cheshire"
"29","Weeton","North Yorkshire"
"30","Weeton","West Yorkshire"
"31","Weeton","Lancashire"
"32","Weethley Gate","Warwickshire"
"33","Weeting","Norfolk"
"34","Weethley Bank","Warwickshire"
"35","Weeping Cross","Staffordshire"
"36","Weethley","Warwickshire"
"37","Weem","Perth and Kinross"
"38","Weelsby","Lincolnshire"
"39","Weeley","Essex"
"40","Weeley Heath","Essex"
"41","Week St Mary","Cornwall"
"42","Weel","North Yorkshire"
"43","Weeks","Isle of Wight"
"44","Weekmoor","Somerset"
"45","Weekley","Northamptonshire"
"46","Weeke","Devon"
"47","Week Green","Cornwall"
"48","Weeke","Hampshire"
"49","Week","Devon"
"50","Weeford","Staffordshire"
"51","Weedon Bec","Northamptonshire"
"52","Weedon Lois","Northamptonshire"
"53","Weedon","Buckinghamshire"
"54","Wednesfield","Staffordshire"
"55","Weecar","Nottinghamshire"
"56","Wednesbury","West Midlands"
"57","Wednesbury Oak","West Midlands"
"58","Wedhampton","Wiltshire"
"59","Wedmore","Somerset"
"60","Weddington","Kent"
"61","Weddington","Warwickshire"
"62","Wedderlairs","Aberdeenshire"
"63","Wedder Holm","Shetland Isles"
"64","Webscott","Shropshire"
"65","Wecock","Hampshire"
"66","Webheath","Worcestershire"
"67","Webbington","Somerset"
"68","Weaverthorpe","North Yorkshire"
"69","Weaverslake","Staffordshire"
"70","Weavering Street","Kent"
"71","Weaverham","Cheshire"
"72","Weaver","Shropshire"
"73","Weaver","Cheshire"
"74","Weaven, The","Herefordshire"
"75","Weatheroak Hill","Worcestershire"
"76","Weaste","Manchester"
"77","Weatherhill","Surrey"
"78","Weasdale","Cumbria"
"79","Weasenham All Saints","Norfolk"
"80","Weasenham St Peter","Norfolk"
"81","Wearne","Somerset"
"82","Wearhead","Durham"
"83","Weare Giffard","Devon"
"84","Weare","Somerset"
"85","Wearde","Cornwall"
"86","Weardley","West Yorkshire"
"87","Wear","Durham"
"88","Weald","Oxfordshire"
"89","Wealdstone","London"
"90","Weacombe","Somerset"
"91","Wdig (Goodwick)","Pembrokeshire/Sir Benfro"
"92","Way Wick","Somerset"
"93","Way Village","Devon"
"94","Waytown","Dorset"
"95","Waytown","Devon"
"96","Way's Green","Cheshire"
"97","Wayne Green","Monmouthshire/Sir Fynwy"
"98","Wayford","Somerset"
"99","Waymills","Shropshire"
"100","Wayfield","Kent"
"101","Wayend Street","Herefordshire"
"102","Way","Kent"
"103","Waye","Devon"
"104","Waxholme","North Yorkshire"
"105","Waxham","Norfolk"
"106","Wawcott","Berkshire"
"107","Wawne","North Yorkshire"
"108","Waverton","Cheshire"
"109","Wavertree","Lancashire"
"110","Waverton","Cumbria"
"111","Waver","Cumbria"
"112","Waverbridge","Cumbria"
"113","Waveney","Norfolk"
"114","Waveney","Suffolk"
"115","Wavendon","Buckinghamshire"
"116","Wavendon Gate","Buckinghamshire"
"117","Waun y Gilfach","Glamorgan/Morgannwg"
"118","Waun y Clyn","Carmarthenshire/Sir Gaerfyrddin"
"119","Waungron","Swansea"
"120","Waun-Lwyd","Blaenau Gwent/Blaenau Gwent"
"121","Waulkmill","Perth and Kinross"
"122","Waulkmills","Angus"
"123","Waun","Gwynedd/Gwynedd"
"124","Waun","Powys/Powys"
"125","Waunarlwydd","Swansea"
"126","Waun Beddau","Pembrokeshire/Sir Benfro"
